Parameter/Date,30 June 2025,29 June 2025,28 June 2025,27 June 2025,26 June 2025,25 June 2025,24 June 2025,23 June 2025,22 June 2025,21 June 2025,20 June 2025,19 June 2025,18 June 2025,17 June 2025,16 June 2025,15 June 2025,14 June 2025,13 June 2025,12 June 2025,11 June 2025,10 June 2025,9 June 2025,8 June 2025,7 June 2025,6 June 2025,5 June 2025,4 June 2025,3 June 2025,2 June 2025,1 June 2025,Total
Advertising cost,-10.78,-10.08,-13.53,-6.84,-14.1,-10.67,-5.32,-20.44,-25.2,-25.74,-11.35,-16.02,-10.73,-7.61,-9.41,-2.7,-8.82,-8.27,-2.7,-6.48,-7.92,-4.6,-12.8,-10.46,-17.86,-14.3,-6,-17.4,-11.82,-8.56,-338.51
    Sponsored Products,-10.78,-10.08,-13.53,-6.84,-14.1,-10.67,-5.32,-20.44,-25.2,-25.74,-11.35,-16.02,-10.73,-7.61,-9.41,-2.7,-8.82,-8.27,-2.7,-6.48,-7.92,-4.6,-12.8,-10.46,-17.86,-14.3,-6,-17.4,-11.82,-8.56,-338.51
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,-7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.91,0,0,0,0,0,0,0,0,0,0,0,-15.82
    Refunded referral fee,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,2.7
    Refund commission,0,0,0,0,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27,0,0,0,0,0,0,0,0,0,0,0,-0.54
    Refunded amount,0,0,0,0,-8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.99,0,0,0,0,0,0,0,0,0,0,0,-17.98
Amazon fees,-25.56,-34.08,-8.52,-12.78,-17.04,-12.78,-21.3,-34.08,-38.34,-34.08,-17.04,-34.08,-51.12,-30.53,-21.3,-21.3,-17.04,-34.79,-21.3,-34.08,-29.82,-17.04,-25.56,-21.3,-34.16,-4.26,-8.52,-17.04,-25.56,-12.78,-717.18
    FBA per unit fulfilment fee,-17.46,-23.28,-5.82,-8.73,-11.64,-8.73,-14.55,-23.28,-26.19,-23.28,-11.64,-23.28,-34.92,-23.28,-14.55,-14.55,-11.64,-26.19,-14.55,-23.28,-20.37,-11.64,-17.46,-14.55,-17.46,-2.91,-5.82,-11.64,-17.46,-8.73,-488.88
    Referral fee,-8.1,-10.8,-2.7,-4.05,-5.4,-4.05,-6.75,-10.8,-12.15,-10.8,-5.4,-10.8,-16.2,-10.8,-6.75,-6.75,-5.4,-12.15,-6.75,-10.8,-9.45,-5.4,-8.1,-6.75,-8.1,-1.35,-2.7,-5.4,-8.1,-4.05,-226.8
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.6,0,0,0,0,0,-8.6
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,3.55
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55
Cost of goods,-8.64,-11.52,-2.88,-4.32,-5.76,-4.32,-7.2,-11.52,-12.96,-11.52,-5.76,-11.52,-17.28,-12.96,-7.2,-7.2,-5.76,-14.4,-7.2,-11.52,-10.08,-5.76,-8.64,-7.2,-8.64,-1.44,-2.88,-5.76,-8.64,-4.32,-244.8
    Cost of goods sold,-8.64,-11.52,-2.88,-4.32,-5.76,-4.32,-7.2,-11.52,-12.96,-11.52,-5.76,-11.52,-17.28,-11.52,-7.2,-7.2,-5.76,-12.96,-7.2,-11.52,-10.08,-5.76,-8.64,-7.2,-8.64,-1.44,-2.88,-5.76,-8.64,-4.32,-241.92
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,0,0,-2.88
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,8.96,16.24,-6.95,3.03,-8.85,-0.8,11.13,5.88,4.41,0.58,1.81,10.3,28.75,20.82,7.04,13.75,4.34,23.45,5.84,19.84,15.11,8.56,6.94,5.99,-6.72,-11.01,0.58,-4.24,7.92,1.31,194.01
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,8.96,16.24,-6.95,3.03,-8.85,-0.8,11.13,5.88,4.41,0.58,1.81,10.3,28.75,20.82,7.04,13.75,4.34,23.45,5.84,19.84,15.11,8.56,6.94,5.99,-6.72,-11.01,0.58,-4.24,7.92,1.31,194.01
Estimated payout,17.6,27.76,-4.07,7.35,-3.09,3.52,18.33,17.4,17.37,12.1,7.57,21.82,46.03,33.78,14.24,20.95,10.1,37.85,13.04,31.36,25.19,14.32,15.58,13.19,1.92,-9.57,3.46,1.52,16.56,5.63,438.81
Real ACOS,19.99%,14.02%,75.25%,25.36%,39.21%,39.56%,11.84%,28.42%,31.15%,35.79%,31.56%,22.27%,9.95%,10.58%,20.93%,6.01%,24.53%,10.22%,6.01%,9.01%,12.59%,12.79%,23.73%,23.27%,33.11%,159.07%,33.37%,48.39%,21.91%,31.74%,22.41%
% Refunds,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.19%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,16.61%,22.58%,-38.65%,11.23%,-24.61%,-2.97%,24.76%,8.18%,5.45%,0.81%,5.03%,14.32%,26.65%,28.95%,15.66%,30.59%,12.07%,28.98%,12.99%,27.59%,24.01%,23.8%,12.87%,13.33%,-12.46%,-122.47%,3.23%,-11.79%,14.68%,4.86%,12.85%
ROI,103.7%,140.97%,-241.32%,70.14%,-153.65%,-18.52%,154.58%,51.04%,34.03%,5.03%,31.42%,89.41%,166.38%,160.65%,97.78%,190.97%,75.35%,162.85%,81.11%,172.22%,149.9%,148.61%,80.32%,83.19%,-77.78%,-764.58%,20.14%,-73.61%,91.67%,30.32%,79.25%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,26,30,24,14,25,24,11,35,41,49,31,31,31,25,34,18,14,23,12,21,22,17,23,23,39,31,18,38,23,27,780
    Browser sessions,9,11,7,8,10,8,4,14,10,11,9,7,8,9,8,10,5,9,7,10,11,5,8,10,16,5,4,15,6,7,261
    Mobile app sessions,17,19,17,6,15,16,7,21,31,38,22,24,23,16,26,8,9,14,5,11,11,12,15,13,23,26,14,23,17,20,519
Unit session percentage,23.08%,26.67%,8.33%,21.43%,16%,12.5%,45.45%,22.86%,21.95%,16.33%,12.9%,25.81%,38.71%,32%,14.71%,27.78%,28.57%,39.13%,41.67%,38.1%,31.82%,23.53%,26.09%,21.74%,15.38%,3.23%,11.11%,10.53%,26.09%,11.11%,21.54%
