Parameter/Date,31 December 2024,30 December 2024,29 December 2024,28 December 2024,27 December 2024,26 December 2024,25 December 2024,24 December 2024,23 December 2024,22 December 2024,21 December 2024,20 December 2024,19 December 2024,18 December 2024,17 December 2024,16 December 2024,15 December 2024,14 December 2024,13 December 2024,12 December 2024,11 December 2024,10 December 2024,9 December 2024,8 December 2024,7 December 2024,6 December 2024,5 December 2024,4 December 2024,3 December 2024,2 December 2024,1 December 2024,Total
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-8.79,0,0,0,0,0,-8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,-8.79,0,0,-24.93
    Refunded referral fee,0,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,4.5
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,1.44
    Refund commission,0,-0.3,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,-0.9
    Refunded amount,0,-9.99,0,0,0,0,0,-9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99,0,0,-29.97
Amazon fees,-46.5,-79.05,-37.2,-65.1,-51.15,-46.5,-27.9,-13.95,-27.9,-23.25,-35.98,-222.6,-17.91,-37.2,-27.9,-41.85,-41.85,-65.1,-37.2,-32.55,-22.56,-22.56,-46.5,-60.45,-13.95,-32.14,-18.6,-27.9,-27.85,-26.1,-69.6,-1346.85
    FBA per unit fulfilment fee,-31.5,-53.55,-25.2,-44.1,-34.65,-31.5,-18.9,-9.45,-18.9,-15.75,-31.5,-12.6,-15.75,-25.2,-18.9,-28.35,-28.35,-44.1,-25.2,-22.05,-18.9,-18.9,-31.5,-40.95,-9.45,-9.45,-12.6,-18.9,-19.6,-18.9,-50.4,-785.05
    Referral fee,-15,-25.5,-12,-21,-16.5,-15,-9,-4.5,-9,-7.5,-15,-6,-7.5,-12,-9,-13.5,-13.5,-21,-12,-10.5,-9,-9,-15,-19.5,-4.5,-4.5,-6,-9,-8.25,-7.2,-19.2,-366.15
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,-204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-204
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.19,0,0,0,0,0,-18.19
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.34,0,0,0,0,0,0,0,0,0,0,0,-5.34
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,5.34
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0,0,0,5.34,5.34,0,0,0,0,0,0,0,0,0,16.02
Cost of goods,-14.4,-24.48,-11.52,-20.16,-15.84,-14.4,-8.64,-4.32,-8.64,-7.2,-14.4,-5.76,-8.64,-11.52,-8.64,-12.96,-12.96,-20.16,-11.52,-10.08,-10.08,-10.08,-14.4,-18.72,-4.32,-4.32,-5.76,-8.64,-7.2,-8.64,-23.04,-361.44
    Cost of goods sold,-14.4,-24.48,-11.52,-20.16,-15.84,-14.4,-8.64,-4.32,-8.64,-7.2,-14.4,-5.76,-7.2,-11.52,-8.64,-12.96,-12.96,-20.16,-11.52,-10.08,-8.64,-8.64,-14.4,-18.72,-4.32,-4.32,-5.76,-8.64,-7.2,-8.64,-23.04,-357.12
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0,0,-1.44,-1.44,0,0,0,0,0,0,0,0,0,-4.32
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,39,56.74,30.43,53.83,42.9,38.23,23.4,2.91,23.4,19.5,49.52,-188.4,23.4,31.2,23.4,35.1,35.1,54.6,31.2,27.3,27.3,28.74,39,50.7,10.93,-6.49,15.6,22.63,11.11,12.43,35.2,699.91
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,39,56.74,30.43,53.83,42.9,38.23,23.4,2.91,23.4,19.5,49.52,-188.4,23.4,31.2,23.4,35.1,35.1,54.6,31.2,27.3,27.3,28.74,39,50.7,10.93,-6.49,15.6,22.63,11.11,12.43,35.2,699.91
Estimated payout,53.4,81.22,41.95,73.99,58.74,52.63,32.04,7.23,32.04,26.7,63.92,-182.64,32.04,42.72,32.04,48.06,48.06,74.76,42.72,37.38,37.38,37.38,53.4,69.42,15.25,-2.17,21.36,31.27,18.31,21.07,58.24,1059.91
Real ACOS,0%,0.45%,0.96%,0.55%,0%,0.77%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.57%,0%,0%,1.28%,0%,1.61%,0%,0.22%
% Refunds,0%,5.88%,0%,0%,0%,0%,0%,33.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,1.21%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,100%
Margin,39.04%,33.41%,38.08%,38.49%,39.04%,38.27%,39.04%,9.71%,39.04%,39.04%,49.57%,-471.47%,46.85%,39.04%,39.04%,39.04%,39.04%,39.04%,39.04%,39.04%,45.55%,47.95%,39.04%,39.04%,36.47%,-21.65%,39.04%,37.75%,20.22%,25.93%,27.53%,28.7%
ROI,270.83%,231.78%,264.15%,267.01%,270.83%,265.49%,270.83%,67.36%,270.83%,270.83%,343.89%,-3270.83%,270.83%,270.83%,270.83%,270.83%,270.83%,270.83%,270.83%,270.83%,270.83%,285.12%,270.83%,270.83%,253.01%,-150.23%,270.83%,261.92%,154.31%,143.87%,152.78%,193.64%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,29,46,39,35,31,24,26,23,21,28,29,14,22,25,16,24,38,23,29,23,17,19,18,42,21,16,19,17,22,16,37,789
    Browser sessions,12,18,9,17,10,8,11,8,8,8,13,2,8,4,13,7,15,12,8,9,6,7,9,23,7,7,6,6,6,10,17,304
    Mobile app sessions,17,28,30,18,21,16,15,15,13,20,16,12,14,21,3,17,23,11,21,14,11,12,9,19,14,9,13,11,16,6,20,485
Unit session percentage,34.48%,36.96%,20.51%,40%,35.48%,41.67%,23.08%,13.04%,28.57%,17.86%,34.48%,28.57%,22.73%,32%,37.5%,37.5%,23.68%,60.87%,27.59%,30.43%,35.29%,31.58%,55.56%,30.95%,14.29%,18.75%,21.05%,35.29%,22.73%,37.5%,43.24%,31.43%
