Parameter/Date,30 November 2025,29 November 2025,28 November 2025,27 November 2025,26 November 2025,25 November 2025,24 November 2025,23 November 2025,22 November 2025,21 November 2025,20 November 2025,19 November 2025,18 November 2025,17 November 2025,16 November 2025,15 November 2025,14 November 2025,13 November 2025,12 November 2025,11 November 2025,10 November 2025,9 November 2025,8 November 2025,7 November 2025,6 November 2025,5 November 2025,4 November 2025,3 November 2025,2 November 2025,1 November 2025,Total
    Referral fee,-12.15,-8.1,-2.7,-5.4,-5.4,-12.15,-13.5,-18.9,-12.15,-12.15,-16.2,-5.4,-6.75,-2.7,-14.85,-12.15,-4.05,-6.75,-5.4,-1.35,-6.75,-10.8,-5.4,-4.05,-6.75,-6.75,-12.15,-2.7,-13.5,-9.45,-256.5
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.64,0,0,0,0,0,0,-8.64
    Warehouse damage,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
    Reversal reimbursement,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49
Cost of goods,-12.96,-8.64,-4.32,-5.76,-5.76,-12.96,-14.4,-20.16,-12.96,-12.96,-17.28,-5.76,-7.2,-2.88,-15.84,-12.96,-4.32,-7.2,-5.76,-1.44,-7.2,-11.52,-5.76,-4.32,-7.2,-7.2,-12.96,-2.88,-14.4,-10.08,-275.04
    Cost of goods sold,-12.96,-8.64,-2.88,-5.76,-5.76,-12.96,-14.4,-20.16,-12.96,-12.96,-17.28,-5.76,-7.2,-2.88,-15.84,-12.96,-4.32,-7.2,-5.76,-1.44,-7.2,-11.52,-5.76,-4.32,-7.2,-7.2,-12.96,-2.88,-14.4,-10.08,-273.6
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,7.91,14.03,-2.41,9.14,9.71,27.45,29.69,37.21,24.03,27.45,35.55,12.2,16.69,6.1,33.01,27.45,9.15,14.73,10.18,2.01,14.7,23.85,11.65,-7.4,6.76,15.25,26.25,6.34,29.9,19.85,498.43
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,7.91,14.03,-2.41,9.14,9.71,27.45,29.69,37.21,24.03,27.45,35.55,12.2,16.69,6.1,33.01,27.45,9.15,14.73,10.18,2.01,14.7,23.85,11.65,-7.4,6.76,15.25,26.25,6.34,29.9,19.85,498.43
Estimated payout,20.87,22.67,1.91,14.9,15.47,40.41,44.09,57.37,36.99,40.41,52.83,17.96,22.45,8.98,48.85,40.41,13.47,21.93,15.94,3.45,21.9,35.37,17.41,-3.08,13.96,22.45,39.21,7.78,44.3,29.93,770.59
Real ACOS,14.37%,7.92%,52.11%,8.51%,6.92%,0%,0.9%,4.36%,0%,0%,0.97%,0%,0%,0%,0.55%,0%,0%,1.16%,5.62%,11.57%,1.22%,0.76%,1.53%,0%,1.29%,0%,1.48%,6.67%,0.67%,2.38%,2.87%
% Refunds,11.11%,0%,0%,0%,0%,0%,0%,0%,11.11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33.33%,20%,0%,0%,0%,0%,0%,2.11%
Sellable returns,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,100%,,,100%
Margin,9.78%,26.01%,-13.4%,25.42%,27%,33.93%,33.03%,29.56%,29.7%,33.93%,32.95%,33.93%,37.13%,33.93%,33.38%,33.93%,33.93%,32.77%,28.31%,22.36%,32.7%,33.16%,32.4%,-27.44%,15.04%,33.93%,32.44%,35.26%,33.26%,31.54%,29.18%
ROI,61.03%,162.38%,-55.79%,158.68%,168.58%,211.81%,206.18%,184.57%,185.42%,211.81%,205.73%,211.81%,231.81%,211.81%,208.4%,211.81%,211.81%,204.58%,176.74%,139.58%,204.17%,207.03%,202.26%,-171.3%,93.89%,211.81%,202.55%,220.14%,207.64%,196.92%,181.22%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,39,25,35,20,22,29,45,44,24,17,28,24,16,20,29,21,21,11,23,30,25,56,31,16,20,16,29,15,28,21,780
    Browser sessions,13,12,10,8,10,6,15,18,10,5,9,8,10,6,9,9,5,3,9,12,10,29,9,7,9,5,13,6,7,8,290
    Mobile app sessions,26,13,25,12,12,23,30,26,14,12,19,16,6,14,20,12,16,8,14,18,15,27,22,9,11,11,16,9,21,13,490
Unit session percentage,23.08%,24%,5.71%,20%,18.18%,31.03%,22.22%,31.82%,37.5%,52.94%,42.86%,16.67%,31.25%,10%,37.93%,42.86%,14.29%,45.45%,17.39%,3.33%,20%,14.29%,12.9%,18.75%,25%,31.25%,31.03%,13.33%,35.71%,33.33%,24.36%
