Parameter/Date,31 January 2026,30 January 2026,29 January 2026,28 January 2026,27 January 2026,26 January 2026,25 January 2026,24 January 2026,23 January 2026,22 January 2026,21 January 2026,20 January 2026,19 January 2026,18 January 2026,17 January 2026,16 January 2026,15 January 2026,14 January 2026,13 January 2026,12 January 2026,11 January 2026,10 January 2026,9 January 2026,8 January 2026,7 January 2026,6 January 2026,5 January 2026,4 January 2026,3 January 2026,2 January 2026,1 January 2026,Total
    Value of returned items,0,0,0,1.44,0,1.44,0,0,0,0,0,0,0,0,0,0,0,1.44,1.44,0,0,0,0,0,1.44,0,0,0,0,0,0,7.2
    Refund commission,0,0,-0.27,0,-0.27,0,0,0,0,0,0,-0.27,0,0,0,-0.27,0,0,0,0,0,0,0,-0.27,-0.27,0,0,0,0,0,-0.27,-1.89
    Refunded amount,0,0,-8.99,0,-8.99,0,0,0,0,0,0,-8.99,0,0,0,-8.99,0,0,0,0,0,0,0,-8.99,-8.99,0,0,0,0,0,-8.99,-62.93
Amazon fees,-34.08,-38.34,-21.3,-8.05,-55.38,-46.79,-42.6,-55.38,-26.4,-72.42,-21.3,-85.13,-68.01,-68.86,-95.67,-39.18,-33.94,-21.54,-40.5,-54,-67.26,-54,-63.2,-63,-71.11,-49.5,-54,-80.9,-22.5,-58.5,-27,-1539.84
    FBA per unit fulfilment fee,-23.28,-26.19,-14.55,-8.73,-37.83,-32.01,-29.1,-37.83,-17.46,-49.47,-14.55,-58.2,-46.56,-46.56,-66.93,-26.19,-23.28,-14.79,-28.35,-37.8,-47.01,-37.8,-43.7,-44.1,-37.8,-34.65,-37.8,-59.85,-15.75,-40.95,-18.9,-1057.97
    Referral fee,-10.8,-12.15,-6.75,-4.05,-17.55,-14.78,-13.5,-17.55,-8.1,-22.95,-6.75,-26.93,-21.45,-21.46,-31.04,-12.15,-10.66,-6.75,-12.15,-16.2,-20.25,-16.2,-19.5,-18.9,-16.2,-14.85,-16.2,-25.65,-6.75,-17.55,-8.1,-473.87
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.11,0,0,0,0,0,0,-17.11
    FBA disposal fee,0,0,0,0,0,0,0,0,-0.84,0,0,0,0,-0.84,0,-0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52
    Reversal reimbursement,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,6.9
Cost of goods,-11.52,-12.96,-7.2,-4.32,-18.72,-15.84,-14.4,-18.72,-8.64,-24.48,-7.2,-28.8,-23.04,-23.04,-34.56,-12.96,-11.52,-7.2,-12.96,-17.28,-21.6,-18.72,-21.6,-20.16,-17.28,-15.84,-17.28,-30.24,-7.2,-18.72,-8.64,-512.64
    Cost of goods sold,-11.52,-12.96,-7.2,-4.32,-18.72,-15.84,-14.4,-18.72,-8.64,-24.48,-7.2,-28.8,-23.04,-23.04,-33.12,-12.96,-11.52,-7.2,-12.96,-17.28,-21.6,-18.72,-21.6,-20.16,-17.28,-15.84,-17.28,-27.36,-7.2,-18.72,-8.64,-508.32
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,0,0,-2.88,0,0,0,-4.32
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,13.57,18.22,-10.24,11.52,23.55,26.2,20.84,32.15,5.51,43.53,3.76,46.73,39.95,38.06,61.22,11.08,12.12,6.27,13.1,27.36,37.62,24.13,32.38,24.72,0.97,22.35,23.5,47.58,3.98,27.21,-3.01,685.93
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,13.57,18.22,-10.24,11.52,23.55,26.2,20.84,32.15,5.51,43.53,3.76,46.73,39.95,38.06,61.22,11.08,12.12,6.27,13.1,27.36,37.62,24.13,32.38,24.72,0.97,22.35,23.5,47.58,3.98,27.21,-3.01,685.93
Estimated payout,25.09,31.18,-3.04,14.4,42.27,40.6,35.24,50.87,14.15,68.01,10.96,75.53,62.99,61.1,95.78,24.04,23.64,12.03,24.62,44.64,59.22,42.85,53.98,44.88,16.81,38.19,40.78,77.82,11.18,45.93,5.63,1191.37
Real ACOS,17.73%,14.08%,41.78%,16.76%,9.68%,11.23%,13.41%,9.09%,24.82%,8.11%,28.23%,6.01%,8.3%,9.02%,7.41%,12.09%,18.69%,25.32%,19.52%,8.57%,6.21%,10.22%,9.9%,8%,11.17%,11.33%,12.14%,7.08%,25.07%,10.64%,24.84%,11.7%
% Refunds,0%,0%,20%,0%,7.69%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,11.11%,0%,0%,0%,0%,0%,0%,0%,7.14%,8.33%,0%,0%,0%,0%,0%,16.67%,1.98%
Sellable returns,,,,100%,,100%,,,,,0%,,,,,0%,0%,100%,100%,,,,,,100%,,,,,,,62.5%
Margin,18.87%,22.52%,-22.78%,42.71%,20.15%,26.62%,23.18%,27.51%,10.22%,28.48%,8.36%,26.06%,27.77%,26.46%,29.61%,13.69%,16.85%,13.95%,16.19%,25.36%,27.9%,22.37%,24.9%,19.64%,0.9%,22.6%,21.78%,27.86%,8.85%,23.28%,-5.58%,21.72%
ROI,117.8%,140.59%,-142.22%,266.67%,125.8%,165.4%,144.72%,171.74%,63.77%,177.82%,52.22%,162.26%,173.39%,165.19%,177.14%,85.49%,105.21%,87.08%,101.08%,158.33%,174.17%,128.9%,149.91%,122.62%,5.61%,141.1%,136%,157.34%,55.28%,145.35%,-34.84%,133.8%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,31,32,37,30,29,33,41,35,38,49,39,49,48,61,54,48,35,30,43,39,37,46,43,38,52,44,41,90,37,48,41,1318
    Browser sessions,8,14,13,10,9,13,16,13,16,15,19,16,22,16,15,10,13,11,12,12,15,17,13,16,24,18,16,48,17,15,13,485
    Mobile app sessions,23,18,24,20,20,20,25,22,22,34,20,33,26,45,39,38,22,19,31,27,22,29,30,22,28,26,25,42,20,33,28,833
Unit session percentage,25.81%,28.13%,13.51%,10%,44.83%,33.33%,24.39%,37.14%,15.79%,34.69%,12.82%,40.82%,33.33%,26.23%,42.59%,18.75%,22.86%,16.67%,20.93%,30.77%,40.54%,28.26%,34.88%,36.84%,23.08%,25%,29.27%,21.11%,13.51%,27.08%,14.63%,26.78%
