Parameter/Date,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,13 December 2025,12 December 2025,11 December 2025,10 December 2025,9 December 2025,8 December 2025,7 December 2025,6 December 2025,5 December 2025,4 December 2025,3 December 2025,2 December 2025,1 December 2025,Total
Gross profit,1.48,-10.33,8.86,4.85,-1.88,7.59,22.68,-5.12,8.59,1.63,-6.94,7.05,-2.98,11.07,3.19,15.55,12.48,17.67,-2.32,9.3,12.33,16.83,32.71,24.8,9.94,6.78,30.94,32.65,11.65,12.7,33.99,327.74
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,1.48,-10.33,8.86,4.85,-1.88,7.59,22.68,-5.12,8.59,1.63,-6.94,7.05,-2.98,11.07,3.19,15.55,12.48,17.67,-2.32,9.3,12.33,16.83,32.71,24.8,9.94,6.78,30.94,32.65,11.65,12.7,33.99,327.74
Estimated payout,10.12,-0.25,29.02,19.25,9.64,16.23,41.4,-3.68,18.67,8.83,-4.06,18.57,1.34,22.59,14.71,29.95,28.32,36.39,9.2,22.26,23.85,29.79,48.55,39.2,25.78,15.42,46.78,48.49,18.85,19.9,54.15,699.26
Real ACOS,31.18%,25.2%,20.6%,28.53%,35.09%,28.18%,14.52%,90.88%,20.28%,30.3%,72.53%,24.12%,44.98%,17.09%,18.49%,16.63%,13.31%,18.81%,35.71%,22.43%,5.78%,13.13%,0.85%,6.34%,6.63%,6.69%,2.64%,0.91%,8.01%,5.67%,6.92%,16.73%
% Refunds,0%,28.57%,7.14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12.5%,0%,9.09%,0%,0%,0%,12.5%,0%,0%,0%,0%,16.67%,0%,0%,0%,0%,0%,2.71%
Sellable returns,,,,,,,,,0%,,,,,,,0%,,,,0%,,,,,,,,,,,0%,0%
Margin,2.74%,-16.42%,7.04%,5.39%,-2.61%,14.07%,19.41%,-56.95%,13.65%,3.63%,-38.6%,9.8%,-11.05%,15.39%,4.44%,17.3%,12.62%,15.12%,-3.23%,11.49%,17.14%,20.8%,33.08%,27.59%,10.05%,12.57%,31.29%,33.02%,25.92%,28.25%,27.01%,14.13%
ROI,17.13%,-102.48%,43.95%,33.68%,-16.32%,87.85%,121.15%,-355.56%,85.22%,22.64%,-240.97%,61.2%,-68.98%,96.09%,27.69%,107.99%,78.79%,94.39%,-20.14%,71.76%,107.03%,129.86%,206.5%,172.22%,62.75%,78.47%,195.33%,206.12%,161.81%,176.39%,168.6%,88.22%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,35,43,59,51,0,43,38,20,27,27,24,42,21,25,33,41,40,54,47,33,27,30,28,22,27,31,35,29,23,23,37,1015
    Browser sessions,10,10,23,20,0,12,10,5,9,11,6,13,5,8,14,15,13,19,18,16,10,9,9,11,8,8,15,11,10,10,11,349
    Mobile app sessions,25,33,36,31,0,31,28,15,18,16,18,29,16,17,19,26,27,35,29,17,17,21,19,11,19,23,20,18,13,13,26,666
Unit session percentage,17.14%,16.28%,23.73%,19.61%,0%,13.95%,34.21%,5%,25.93%,18.52%,8.33%,19.05%,14.29%,32%,24.24%,24.39%,27.5%,24.07%,17.02%,27.27%,29.63%,30%,39.29%,45.45%,40.74%,19.35%,31.43%,37.93%,21.74%,21.74%,37.84%,25.42%
