Parameter/Date,30 April 2025,29 April 2025,28 April 2025,27 April 2025,26 April 2025,25 April 2025,24 April 2025,23 April 2025,22 April 2025,21 April 2025,20 April 2025,19 April 2025,18 April 2025,17 April 2025,16 April 2025,15 April 2025,14 April 2025,13 April 2025,12 April 2025,11 April 2025,10 April 2025,9 April 2025,8 April 2025,7 April 2025,6 April 2025,5 April 2025,4 April 2025,3 April 2025,2 April 2025,1 April 2025,Total
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.79
    Refunded referral fee,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
    Refund commission,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3
    Refunded amount,0,0,-9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99
Amazon fees,-17.64,0,-22.05,-26.46,-17.64,-17.64,-26.46,-4.41,-13.23,-22.05,-13.23,-22.05,-7.65,-8.82,-8.82,-4.41,-22.05,-22.05,-8.82,-35.28,-13.23,-4.41,-4.41,-13.23,-0.01,0,0,0,0,0,-356.05
    FBA per unit fulfilment fee,-11.64,0,-14.55,-17.46,-11.64,-11.64,-17.46,-2.91,-8.73,-14.55,-8.73,-14.55,-8.73,-5.82,-5.82,-2.91,-14.55,-14.55,-5.82,-23.28,-8.73,-2.91,-2.91,-8.73,0,0,0,0,0,0,-238.62
    Referral fee,-6,0,-7.5,-9,-6,-6,-9,-1.5,-4.5,-7.5,-4.5,-7.5,-4.5,-3,-3,-1.5,-7.5,-7.5,-3,-12,-4.5,-1.5,-1.5,-4.5,0,0,0,0,0,0,-123
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,-0.01
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58
Cost of goods,-5.76,0,-7.2,-8.64,-5.76,-5.76,-8.64,-1.44,-4.32,-7.2,-4.32,-7.2,-4.32,-2.88,-2.88,-1.44,-7.2,-7.2,-2.88,-11.52,-4.32,-1.44,-1.44,-4.32,0,0,0,0,0,0,-118.08
    Cost of goods sold,-5.76,0,-7.2,-8.64,-5.76,-5.76,-8.64,-1.44,-4.32,-7.2,-4.32,-7.2,-4.32,-2.88,-2.88,-1.44,-7.2,-7.2,-2.88,-11.52,-4.32,-1.44,-1.44,-4.32,0,0,0,0,0,0,-118.08
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,9.37,-1.96,8.91,6.5,0.96,6.37,20.24,-0.86,6.42,8.78,6.22,8.5,16,8.28,8.28,4.14,20.7,20.7,7.57,33.12,12.42,2.6,3.37,12.42,-0.01,0,0,0,0,0,229.04
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,9.37,-1.96,8.91,6.5,0.96,6.37,20.24,-0.86,6.42,8.78,6.22,8.5,16,8.28,8.28,4.14,20.7,20.7,7.57,33.12,12.42,2.6,3.37,12.42,-0.01,0,0,0,0,0,229.04
Estimated payout,15.13,-1.96,16.11,15.14,6.72,12.13,28.88,0.58,10.74,15.98,10.54,15.7,20.32,11.16,11.16,5.58,27.9,27.9,10.45,44.64,16.74,4.04,4.81,16.74,-0.01,0,0,0,0,0,347.12
Real ACOS,17.99%,0%,6.01%,30.6%,39.04%,25.5%,7.67%,50.05%,20.02%,23.86%,20.69%,24.42%,6.67%,0%,0%,0%,0%,0%,3.55%,0%,0%,15.42%,7.71%,0%,0%,0%,0%,0%,0%,0%,13.09%
% Refunds,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.22%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,23.45%,0%,17.84%,10.84%,2.4%,15.94%,33.77%,-8.61%,21.42%,17.58%,20.75%,17.02%,53.39%,41.44%,41.44%,41.44%,41.44%,41.44%,37.89%,41.44%,41.44%,26.03%,33.73%,41.44%,0%,0%,0%,0%,0%,0%,27.96%
ROI,162.67%,,123.75%,75.23%,16.67%,110.59%,234.26%,-59.72%,148.61%,121.94%,143.98%,118.06%,370.37%,287.5%,287.5%,287.5%,287.5%,287.5%,262.85%,287.5%,287.5%,180.56%,234.03%,287.5%,,0%,0%,0%,0%,0%,193.97%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,18,12,22,35,34,24,28,12,28,35,19,28,19,11,12,11,17,16,12,13,15,12,9,8,6,0,0,0,0,4,460
    Browser sessions,4,5,5,9,12,9,13,4,17,13,5,12,11,5,4,4,8,6,6,3,4,4,2,3,2,0,0,0,0,2,172
    Mobile app sessions,14,7,17,26,22,15,15,8,11,22,14,16,8,6,8,7,9,10,6,10,11,8,7,5,4,0,0,0,0,2,288
Unit session percentage,22.22%,0%,22.73%,17.14%,11.76%,16.67%,21.43%,8.33%,10.71%,14.29%,15.79%,17.86%,15.79%,18.18%,16.67%,9.09%,29.41%,31.25%,16.67%,61.54%,20%,8.33%,11.11%,37.5%,0%,0%,0%,0%,0%,0%,17.83%
