Parameter/Date,31 October 2024,30 October 2024,29 October 2024,28 October 2024,27 October 2024,26 October 2024,25 October 2024,24 October 2024,23 October 2024,22 October 2024,21 October 2024,20 October 2024,19 October 2024,18 October 2024,17 October 2024,16 October 2024,15 October 2024,14 October 2024,13 October 2024,12 October 2024,11 October 2024,10 October 2024,9 October 2024,8 October 2024,7 October 2024,6 October 2024,5 October 2024,4 October 2024,3 October 2024,2 October 2024,1 October 2024,Total
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,0,19.5,7.8,7.8,27.3,7.8,0,4.3,7.8,23.4,15.6,11.7,15.6,10.68,14.07,23.73,10.17,0,10.45,7.06,3.39,23.73,7.34,28.24,0,3.39,0,0,0,0,0,290.85
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,0,19.5,7.8,7.8,27.3,7.8,0,4.3,7.8,23.4,15.6,11.7,15.6,10.68,14.07,23.73,10.17,0,10.45,7.06,3.39,23.73,7.34,28.24,0,3.39,0,0,0,0,0,290.85
Estimated payout,0,26.7,10.68,10.68,37.38,10.68,0,4.3,10.68,32.04,21.36,16.02,21.36,15,19.83,33.81,14.49,0,14.77,9.94,4.83,33.81,10.22,39.76,0,4.83,0,0,0,0,0,403.17
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.28%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,0%,39.04%,39.04%,39.04%,39.04%,39.04%,0%,0%,39.04%,39.04%,39.04%,39.04%,39.04%,35.64%,35.21%,33.93%,33.93%,0%,34.87%,35.34%,33.93%,33.93%,36.74%,35.34%,0%,33.93%,0%,0%,0%,0%,0%,37.33%
ROI,0%,270.83%,270.83%,270.83%,270.83%,270.83%,0%,,270.83%,270.83%,270.83%,270.83%,270.83%,247.22%,244.27%,235.42%,235.42%,0%,241.9%,245.14%,235.42%,235.42%,254.86%,245.14%,0%,235.42%,0%,0%,0%,0%,0%,258.95%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,11,16,19,8,23,10,9,11,8,11,14,11,17,5,15,15,13,7,18,9,10,9,13,22,11,17,10,9,0,0,0,351
    Browser sessions,5,7,5,1,6,4,4,6,3,5,5,3,8,2,7,6,3,4,8,5,4,4,5,10,5,6,5,4,0,0,0,140
    Mobile app sessions,6,9,14,7,17,6,5,5,5,6,9,8,9,3,8,9,10,3,10,4,6,5,8,12,6,11,5,5,0,0,0,211
Unit session percentage,0%,31.25%,10.53%,25%,30.43%,20%,0%,0%,25%,54.55%,28.57%,27.27%,23.53%,60%,26.67%,46.67%,23.08%,0%,16.67%,22.22%,10%,77.78%,15.38%,36.36%,0%,5.88%,0%,0%,0%,0%,0%,22.22%
