Parameter/Date,30 September 2025,29 September 2025,28 September 2025,27 September 2025,26 September 2025,25 September 2025,24 September 2025,23 September 2025,22 September 2025,21 September 2025,20 September 2025,19 September 2025,18 September 2025,17 September 2025,16 September 2025,15 September 2025,14 September 2025,13 September 2025,12 September 2025,11 September 2025,10 September 2025,9 September 2025,8 September 2025,7 September 2025,6 September 2025,5 September 2025,4 September 2025,3 September 2025,2 September 2025,1 September 2025,Total
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,23.83,18.87,19.57,11.45,26.89,7.96,-17.88,20.43,-1.15,27.99,6.28,17.1,16.99,20.02,21.12,13.33,40.69,22.17,13.98,6.27,29.49,2.5,9.08,28.24,2.43,2.63,14.65,2.44,23.38,37.57,468.32
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,23.83,18.87,19.57,11.45,26.89,7.96,-17.88,20.43,-1.15,27.99,6.28,17.1,16.99,20.02,21.12,13.33,40.69,22.17,13.98,6.27,29.49,2.5,9.08,28.24,2.43,2.63,14.65,2.44,23.38,37.57,468.32
Estimated payout,35.35,27.51,32.53,21.53,42.73,18.04,-15,36.27,3.17,43.83,13.48,27.18,25.63,35.86,32.64,20.53,59.41,38.01,21.18,10.59,42.45,5.38,14.84,44.08,8.19,8.39,21.85,5.32,36.34,60.61,777.92
Real ACOS,3.46%,8.9%,16.43%,18.4%,9.4%,11.38%,48.05%,15.94%,47.78%,8.29%,22.63%,9.42%,5.1%,8.35%,7.23%,6.94%,1.78%,6.18%,5.49%,13.35%,5.39%,22.69%,11.35%,8.04%,18.46%,7.29%,4%,23.03%,7.7%,10.48%,10.21%
% Refunds,0%,0%,0%,0%,0%,14.29%,100%,0%,0%,0%,0%,0%,0%,9.09%,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,2.76%
Sellable returns,,100%,100%,,,,,,,,,,,,0%,,,,,,50%,,,,,,,,,,60%
Margin,33.13%,29.99%,21.77%,18.19%,27.19%,12.65%,-99.44%,20.66%,-6.4%,28.3%,13.97%,27.17%,31.5%,20.24%,29.37%,29.66%,34.82%,22.42%,31.1%,23.25%,32.8%,13.9%,25.25%,28.56%,6.76%,7.31%,32.59%,13.57%,28.9%,26.12%,24.01%
ROI,206.86%,187.2%,135.9%,113.59%,169.76%,78.97%,-620.83%,128.98%,-26.62%,176.7%,87.22%,169.64%,196.64%,126.39%,183.33%,185.14%,217.36%,139.96%,194.17%,145.14%,204.79%,86.81%,157.64%,178.28%,42.19%,45.66%,203.47%,84.72%,180.4%,163.06%,149.18%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,29,40,38,41,45,30,33,49,26,45,41,31,19,46,32,38,35,39,27,22,27,26,28,46,37,23,19,27,31,51,1021
    Browser sessions,18,11,6,15,10,8,9,15,9,15,14,9,8,13,8,16,10,7,13,7,9,15,13,17,14,10,9,8,9,25,350
    Mobile app sessions,11,29,32,26,35,22,24,34,17,30,27,22,11,33,24,22,25,32,14,15,18,11,15,29,23,13,10,19,22,26,671
Unit session percentage,27.59%,17.5%,26.32%,17.07%,24.44%,23.33%,6.06%,22.45%,7.69%,24.44%,12.2%,22.58%,31.58%,23.91%,25%,13.16%,37.14%,28.21%,18.52%,13.64%,37.04%,7.69%,14.29%,23.91%,10.81%,17.39%,26.32%,7.41%,29.03%,31.37%,21.25%
