Parameter/Date,31 August 2025,30 August 2025,29 August 2025,28 August 2025,27 August 2025,26 August 2025,25 August 2025,24 August 2025,23 August 2025,22 August 2025,21 August 2025,20 August 2025,19 August 2025,18 August 2025,17 August 2025,16 August 2025,15 August 2025,14 August 2025,13 August 2025,12 August 2025,11 August 2025,10 August 2025,9 August 2025,8 August 2025,7 August 2025,6 August 2025,5 August 2025,4 August 2025,3 August 2025,2 August 2025,1 August 2025,Total
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,-1.44,0,-1.44,-4.32
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,8.35,30.79,18.83,-4.2,8.9,11.39,9.35,20.08,6.8,10.74,4.75,7.72,19.61,6.63,12.23,11.19,11.95,19.12,7.95,37.41,10.62,3.7,10.69,-3.44,6.65,-0.79,22.6,16.14,2.48,11.95,16.29,356.48
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,8.35,30.79,18.83,-4.2,8.9,11.39,9.35,20.08,6.8,10.74,4.75,7.72,19.61,6.63,12.23,11.19,11.95,19.12,7.95,37.41,10.62,3.7,10.69,-3.44,6.65,-0.79,22.6,16.14,2.48,11.95,16.29,356.48
Estimated payout,15.55,46.63,28.91,-1.32,17.54,24.35,19.43,34.48,15.44,23.7,11.95,16.36,32.57,10.95,22.31,18.39,19.15,32.08,13.71,56.13,20.7,8.02,16.45,0.88,15.29,3.53,37,24.78,8.24,19.15,26.37,638.72
Real ACOS,18.02%,5.46%,6.67%,59.96%,20.1%,12.74%,21.74%,14.26%,23.99%,19.66%,26.03%,22.28%,7.33%,22.16%,17.16%,11.7%,10.01%,12.68%,14.49%,4.59%,7.15%,22.88%,20.02%,20.02%,9.6%,24.3%,11.46%,6.67%,32.81%,10.01%,9.1%,14.28%
% Refunds,0%,0%,0%,0%,0%,11.11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.29%,0%,0%,33.33%,16.67%,0%,0%,0%,0%,0%,0%,2.06%
Sellable returns,,,,,,,,,0%,,,,,100%,,,,,,,,,,,0%,,,,,,,33.33%
Margin,18.58%,31.14%,29.92%,-23.36%,16.5%,14.08%,14.86%,22.34%,12.61%,14.93%,10.57%,14.31%,27.27%,18.44%,19.43%,24.89%,26.59%,23.63%,22.11%,32.01%,16.88%,13.72%,29.73%,-12.75%,12.33%,-4.39%,25.14%,29.92%,9.2%,26.59%,30.2%,20.65%
ROI,115.97%,194.38%,186.81%,-145.83%,103.01%,87.89%,92.76%,139.44%,78.7%,82.87%,65.97%,89.35%,151.31%,115.1%,121.33%,155.42%,165.97%,147.53%,138.02%,199.84%,105.36%,85.65%,185.59%,-79.63%,76.97%,-18.29%,156.94%,186.81%,43.06%,165.97%,161.61%,125.66%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,30,37,25,33,29,33,55,44,42,45,34,38,20,29,42,26,19,43,54,36,30,33,30,29,28,20,35,26,26,33,27,1031
    Browser sessions,6,13,12,11,9,10,23,18,16,23,15,13,12,14,14,13,10,24,36,23,15,13,10,11,10,12,15,12,10,14,12,449
    Mobile app sessions,24,24,13,22,20,23,32,26,26,22,19,25,8,15,28,13,9,19,18,13,15,20,20,18,18,8,20,14,16,19,15,582
Unit session percentage,16.67%,29.73%,28%,6.06%,20.69%,27.27%,12.73%,22.73%,14.29%,20%,14.71%,15.79%,45%,13.79%,16.67%,19.23%,26.32%,20.93%,7.41%,36.11%,23.33%,9.09%,13.33%,10.34%,21.43%,10%,28.57%,23.08%,11.54%,15.15%,22.22%,18.82%
