Parameter/Date,30 November 2024,29 November 2024,28 November 2024,27 November 2024,26 November 2024,25 November 2024,24 November 2024,23 November 2024,22 November 2024,21 November 2024,20 November 2024,19 November 2024,18 November 2024,17 November 2024,16 November 2024,15 November 2024,14 November 2024,13 November 2024,12 November 2024,11 November 2024,10 November 2024,9 November 2024,8 November 2024,7 November 2024,6 November 2024,5 November 2024,4 November 2024,3 November 2024,2 November 2024,1 November 2024,Total
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,0,-0.3
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99,0,0,0,0,0,0,-9.99
Amazon fees,-47.85,-43.5,-39.15,-51.15,-27.21,-32.55,-46.5,-9.3,-48.75,-7.92,-32.55,-23.25,-4.65,-61.25,-32.55,-24.84,-13.95,0,0,-32.55,-32.55,-27.9,-4.65,-13.95,-33.47,12.06,-4.65,-97.65,-18.6,-4.65,-805.48
    FBA per unit fulfilment fee,-34.65,-31.5,-28.35,-34.65,-22.05,-22.05,-31.5,-6.3,-34.65,-12.6,-22.05,-15.75,-3.15,-18.9,-22.05,-18.9,-9.45,0,0,-22.05,-22.05,-18.9,-3.15,-9.45,-9.45,-6.3,-3.15,-66.15,-12.6,-3.15,-544.95
    Referral fee,-13.2,-12,-10.8,-16.5,-10.5,-10.5,-15,-3,-14.1,-6,-10.5,-7.5,-1.5,-9,-10.5,-9,-4.5,0,0,-10.5,-10.5,-9,-1.5,-4.5,-4.5,-3,-1.5,-31.5,-6,-1.5,-248.1
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.35
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.36,0,0,0,0,0,-21.36
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,-3.5
    Adjustment FBA per unit fulfillment fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06
    Warehouse damage,0,0,0,0,5.34,0,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,21.36,0,0,0,0,42.72
Cost of goods,-15.84,-14.4,-12.96,-15.84,-11.52,-10.08,-14.4,-2.88,-15.84,-8.64,-11.52,-7.2,-1.44,-8.64,-10.08,-8.64,-4.32,0,0,-10.08,-10.08,-8.64,-1.44,-4.32,0,-8.64,-1.44,-30.24,-5.76,-1.44,-256.32
    Cost of goods sold,-15.84,-14.4,-12.96,-15.84,-10.08,-10.08,-14.4,-2.88,-15.84,-5.76,-11.52,-7.2,-1.44,-8.64,-10.08,-8.64,-4.32,0,0,-10.08,-10.08,-8.64,-1.44,-4.32,-4.32,-2.88,-1.44,-30.24,-5.76,-1.44,-250.56
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,-1.44,0,0,0,0,-2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,-5.76,0,0,0,0,-5.76
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,24.2,22,19.8,42.9,31.2,27.3,37.78,7.8,29.3,23.4,25.09,19.5,3.9,-9.95,27.3,26.46,11.7,0,0,27.3,27.3,23.4,3.9,4.35,-3.5,23.4,3.9,81.9,15.6,3.9,581.13
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,24.2,22,19.8,42.9,31.2,27.3,37.78,7.8,29.3,23.4,25.09,19.5,3.9,-9.95,27.3,26.46,11.7,0,0,27.3,27.3,23.4,3.9,4.35,-3.5,23.4,3.9,81.9,15.6,3.9,581.13
Estimated payout,40.04,36.4,32.76,58.74,42.72,37.38,52.18,10.68,45.14,32.04,36.61,26.7,5.34,-1.31,37.38,35.1,16.02,0,0,37.38,37.38,32.04,5.34,7.23,-3.5,32.04,5.34,112.14,21.36,5.34,836.01
Real ACOS,0%,0%,0%,0%,0%,0%,1.22%,0%,0%,0%,1.1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.12%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33.33%,0%,0%,0%,0%,0%,0%,0.57%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,100%
Margin,27.53%,27.53%,27.53%,39.04%,44.62%,39.04%,37.82%,39.04%,26.66%,58.56%,35.88%,39.04%,39.04%,-16.6%,39.04%,44.14%,39.04%,0%,0%,39.04%,39.04%,39.04%,39.04%,14.51%,-11.68%,117.12%,39.04%,39.04%,39.04%,39.04%,34.83%
ROI,152.78%,152.78%,152.78%,270.83%,270.83%,270.83%,262.36%,270.83%,184.97%,270.83%,217.8%,270.83%,270.83%,-115.16%,270.83%,306.25%,270.83%,0%,0%,270.83%,270.83%,270.83%,270.83%,100.69%,,270.83%,270.83%,270.83%,270.83%,270.83%,226.72%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,30,34,21,25,22,19,30,20,40,22,18,15,11,19,20,14,13,11,11,19,23,23,23,18,8,5,10,17,14,4,559
    Browser sessions,12,11,4,9,6,7,12,7,18,10,7,6,1,11,7,5,6,4,8,12,14,11,15,4,3,3,7,5,5,3,233
    Mobile app sessions,18,23,17,16,16,12,18,13,22,12,11,9,10,8,13,9,7,7,3,7,9,12,8,14,5,2,3,12,9,1,326
Unit session percentage,36.67%,29.41%,42.86%,44%,31.82%,36.84%,33.33%,10%,27.5%,18.18%,44.44%,33.33%,9.09%,31.58%,35%,42.86%,23.08%,0%,0%,36.84%,30.43%,26.09%,4.35%,16.67%,37.5%,40%,10%,123.53%,28.57%,25%,31.13%
