Parameter/Date,31 July 2025,30 July 2025,29 July 2025,28 July 2025,27 July 2025,26 July 2025,25 July 2025,24 July 2025,23 July 2025,22 July 2025,21 July 2025,20 July 2025,19 July 2025,18 July 2025,17 July 2025,16 July 2025,15 July 2025,14 July 2025,13 July 2025,12 July 2025,11 July 2025,10 July 2025,9 July 2025,8 July 2025,7 July 2025,6 July 2025,5 July 2025,4 July 2025,3 July 2025,2 July 2025,1 July 2025,Total
Real ACOS,5.74%,15.91%,17.96%,7.69%,28.31%,17.8%,13.58%,9.22%,31.17%,20.66%,13.73%,20.78%,9.28%,2.65%,22.53%,18.92%,27.2%,9.79%,10.66%,7.15%,4.71%,14.22%,20.93%,5.57%,48.05%,10.89%,16.11%,5.01%,14.29%,26.03%,7.32%,12.55%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.39%
Sellable returns,,,,,,,,,0%,,,,,,,,,,,,,,,,,0%,,,,,,0%
Margin,30.85%,22.72%,18.63%,28.9%,8.29%,18.8%,23.01%,27.38%,5.42%,20.58%,22.87%,15.81%,27.31%,33.94%,22.19%,17.67%,9.4%,26.81%,25.93%,29.45%,31.89%,14.38%,15.67%,31.65%,-11.46%,21.53%,22.8%,31.59%,22.3%,10.57%,29.28%,23.92%
ROI,192.63%,126.08%,116.32%,180.45%,51.74%,117.36%,143.66%,170.92%,33.85%,99.92%,142.76%,98.73%,170.52%,211.9%,92.36%,110.33%,58.68%,167.36%,161.9%,183.83%,199.06%,89.77%,97.81%,190.3%,-71.53%,125.46%,124.57%,197.22%,139.24%,65.97%,182.79%,144.84%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,30,52,36,39,47,41,51,56,65,80,53,52,32,31,24,43,33,33,38,34,36,45,310,1236,22,38,32,21,16,44,31,2701
    Browser sessions,17,23,16,15,18,18,27,32,47,47,28,27,13,15,11,25,20,18,18,24,17,20,257,1087,7,18,16,8,5,8,15,1917
    Mobile app sessions,13,29,20,24,29,23,24,24,18,33,25,25,19,16,13,18,13,15,20,10,19,25,53,149,15,20,16,13,11,36,16,784
Unit session percentage,43.33%,15.38%,11.11%,33.33%,8.51%,17.07%,15.69%,14.29%,6.15%,8.75%,13.21%,11.54%,34.38%,22.58%,16.67%,18.6%,6.06%,21.21%,18.42%,20.59%,47.22%,24.44%,4.19%,2.1%,9.09%,36.84%,21.88%,38.1%,12.5%,18.18%,29.03%,9.59%
