Parameter/Date,31 October 2025,30 October 2025,29 October 2025,28 October 2025,27 October 2025,26 October 2025,25 October 2025,24 October 2025,23 October 2025,22 October 2025,21 October 2025,20 October 2025,19 October 2025,18 October 2025,17 October 2025,16 October 2025,15 October 2025,14 October 2025,13 October 2025,12 October 2025,11 October 2025,10 October 2025,9 October 2025,8 October 2025,7 October 2025,6 October 2025,5 October 2025,4 October 2025,3 October 2025,2 October 2025,1 October 2025,Total
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,-7.91,0,0,0,0,0,0,-7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.82
    Refunded referral fee,0,0,0,1.35,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
    Refund commission,0,0,0,-0.27,0,0,0,0,0,0,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54
    Refunded amount,0,0,0,-8.99,0,0,0,0,0,0,-8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.98
Amazon fees,-20.9,-18,-40.5,-49.5,-18,-27,-36,-27,-18,-22.5,-9,-22.27,-40.5,-45,-31.28,-27,-31.5,-40.02,-34.08,-29.82,-42.6,-46.86,-34.08,-72.66,-100.91,-31.78,-46.86,-42.6,-34.08,-38.34,-34.08,-1112.72
    FBA per unit fulfilment fee,-12.6,-12.6,-28.35,-34.65,-12.6,-18.9,-25.2,-18.9,-12.6,-15.75,-6.3,-18.9,-28.35,-31.5,-28.35,-18.9,-22.05,-27.87,-23.28,-20.37,-29.1,-32.01,-23.28,-49.71,-66.93,-23.28,-32.01,-29.1,-23.28,-26.19,-23.28,-776.19
    Referral fee,-5.4,-5.4,-12.15,-14.85,-5.4,-8.1,-10.8,-8.1,-5.4,-6.75,-2.7,-8.1,-12.15,-13.5,-12.15,-8.1,-9.45,-12.15,-10.8,-9.45,-13.5,-14.85,-10.8,-22.95,-31.05,-10.8,-14.85,-13.5,-10.8,-12.15,-10.8,-346.95
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93,0,0,0,0,0,0,-2.93
    Compensated clawback,-2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,2.3
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46
Cost of goods,-4.32,-5.76,-12.96,-15.84,-5.76,-8.64,-11.52,-8.64,-5.76,-7.2,-2.88,-8.64,-12.96,-14.4,-12.96,-8.64,-10.08,-12.96,-11.52,-10.08,-14.4,-15.84,-11.52,-24.48,-33.12,-12.96,-15.84,-14.4,-11.52,-12.96,-11.52,-370.08
    Cost of goods sold,-5.76,-5.76,-12.96,-15.84,-5.76,-8.64,-11.52,-8.64,-5.76,-7.2,-2.88,-8.64,-12.96,-14.4,-12.96,-8.64,-10.08,-12.96,-11.52,-10.08,-14.4,-15.84,-11.52,-24.48,-33.12,-11.52,-15.84,-14.4,-11.52,-12.96,-11.52,-370.08
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,10.74,12.2,27.45,25.64,11.31,18.3,24.4,16.9,11.68,14.89,-2.33,21.32,18.87,20.82,27.58,0.85,17.01,13.77,2.65,9.11,16.5,26.99,15.66,36.58,54.29,18.19,27.33,24.26,23.18,23.21,21.86,591.21
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,10.74,12.2,27.45,25.64,11.31,18.3,24.4,16.9,11.68,14.89,-2.33,21.32,18.87,20.82,27.58,0.85,17.01,13.77,2.65,9.11,16.5,26.99,15.66,36.58,54.29,18.19,27.33,24.26,23.18,23.21,21.86,591.21
Estimated payout,15.06,17.96,40.41,41.48,17.07,26.94,35.92,25.54,17.44,22.09,0.55,29.96,31.83,35.22,40.54,9.49,27.09,26.73,14.17,19.19,30.9,42.83,27.18,61.06,87.41,31.15,43.17,38.66,34.7,36.17,33.38,961.29
Real ACOS,0%,0%,0%,0%,2.47%,0%,0%,2.6%,1.45%,0.8%,2.89%,3.17%,10.6%,10.77%,11.23%,32.35%,7%,17.5%,32.91%,22.12%,18.24%,9.3%,14.82%,12.5%,8.92%,12.5%,8.96%,9.61%,4.37%,7.91%,6.2%,9.55%
% Refunds,0%,0%,0%,9.09%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.78%
Sellable returns,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,0%
Margin,29.87%,33.93%,33.93%,25.93%,31.45%,33.93%,33.93%,31.33%,32.48%,33.13%,-12.96%,39.53%,23.32%,23.16%,34.09%,1.58%,27%,17.02%,3.68%,14.48%,18.35%,27.29%,21.77%,23.94%,26.26%,25.29%,27.64%,26.99%,32.23%,28.69%,30.39%,25.59%
ROI,248.61%,211.81%,211.81%,161.87%,196.35%,211.81%,211.81%,195.6%,202.78%,206.81%,-80.9%,246.76%,145.6%,144.58%,212.81%,9.84%,168.75%,106.25%,23%,90.38%,114.58%,170.39%,135.94%,149.43%,163.92%,140.35%,172.54%,168.47%,201.22%,179.09%,189.76%,159.75%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,20,28,13,19,20,30,22,24,26,10,16,16,34,44,39,39,22,38,42,41,49,35,38,52,57,76,188,32,25,21,25,1141
    Browser sessions,5,10,6,10,8,11,9,6,12,6,6,9,11,18,15,14,4,14,13,16,23,12,20,24,27,43,114,12,14,11,7,510
    Mobile app sessions,15,18,7,9,12,19,13,18,14,4,10,7,23,26,24,25,18,24,29,25,26,23,18,28,30,33,74,20,11,10,18,631
Unit session percentage,20%,14.29%,69.23%,57.89%,20%,20%,36.36%,25%,15.38%,50%,12.5%,37.5%,26.47%,22.73%,23.08%,15.38%,31.82%,23.68%,19.05%,17.07%,20.41%,31.43%,21.05%,32.69%,40.35%,10.53%,5.85%,31.25%,32%,42.86%,32%,22.52%
